"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"THAP6",40.8173991203167,-3.94701363032797,0.892060533735672,-3.30360274765973,0.000954509840742436,0.0456049616522906
"THBD",51.5171886066163,-9.25875594664073,0.888224457087184,-9.29805060054779,1.43044159283104e-20,3.00714583852906e-17
"THRB",5927.3327327033,-1.80300120656964,0.191720824989389,-4.18838801999772,2.80942875470933e-05,0.00257780620403051
"TMEM147",98.0469232235893,2.89954943908219,0.46916634965272,4.04877596291432,5.14862006784491e-05,0.00428660852975325
"TMEM169",50.6082116065432,4.41890695301333,0.917606183207277,3.72589790215159,0.000194621174405243,0.0135253674014354
"TMEM45A",1414.43678563659,-2.00442417108195,0.301317619094291,-3.33343989011023,0.000857792044201452,0.0419370540679652
"TMEM53",55.5989245726461,3.49800424585495,0.700785407882867,3.56457799742382,0.000364442068606389,0.0218899525350795
"TMEM70",4938.59705412159,-2.90437869710359,0.610402638905064,-3.1198729751884,0.00180929043911643,0.0760716165126501
"TMSB10",3622.90288452556,1.97081724001386,0.306135394873635,3.17120220748923,0.00151809429703301,0.0656817242196891
"TNS1",3656.74435748161,-3.37221799319522,0.331870259199684,-7.14802826537063,8.80331884207089e-13,4.93514054286494e-10
"TP53I3",207.541933452972,3.01562254220143,0.457544425368454,4.40530455720946,1.05635357106125e-05,0.00115362041286416
"TPM2",256.171865181765,3.11144330199863,0.453828373793264,4.6525149680493,3.27910927767554e-06,0.000424215844861132
"TRIM15",55.158579093519,-3.46493746590574,0.552947866953911,-4.45781169115386,8.28005896625496e-06,0.00094090561955727
"TRIM40",401.240485501171,-2.62129018443971,0.352789467957234,-4.59563091219109,4.31441811937127e-06,0.000541491671131239
"TRIM9",87.5141721551965,-3.40333753233813,0.578579659373053,-4.15385762946173,3.26916623261857e-05,0.00289372830000942
"TSPO",952.592392436525,2.85958495132972,0.350708903489527,5.30236025611837,1.14314967475541e-07,2.46480656795339e-05
"TSTD1",258.280936216156,2.128353430441,0.366711142588659,3.07695430925772,0.00209127353555465,0.084954198842894
"TTC30A",95.6155110891537,-4.09070600819792,0.881943910409639,-3.50442468247485,0.000457594986101505,0.0261763009396432
"TTPAL",135.18277761212,-2.53943553403516,0.401435842855126,-3.83482332590498,0.000125654581766371,0.00903102032541379
"URM1",98.6948438802435,2.48198507932908,0.450284541063993,3.29121909410269,0.000997541881052354,0.0471472774446036
"USP8P1",60.6187339727911,-4.64856512576298,0.994135015210736,-3.6700901486601,0.000242464943582482,0.016181648496707
"UTRN",1054.82774540736,-2.16359454362646,0.317464735244525,-3.66527180642666,0.000247076032464171,0.016311173235099
"VAV1",40.7853613953003,-3.5267300750666,0.787131317802894,-3.21004896885493,0.00132712361328519,0.0592791226509137
"VIM-AS1",23517.9763922139,-2.71743849176081,0.353927762904174,-4.85251136465892,1.21907795691071e-06,0.000179846079643195
"VN1R110P",213.997142852691,-1.90463909702281,0.258526963735199,-3.49920597817953,0.000466645943617567,0.0262406736009413
"VWA8",2462.44733091499,-2.28779156699524,0.297670246432952,-4.32623543141154,1.51679304256354e-05,0.0015943390868646
"WASF1",1069.92479734139,1.8884717302121,0.260429973253829,3.41155712267478,0.000645929658085238,0.0333228373916489
"WFDC1",420.520320891353,3.24496386673025,0.53067289750135,4.23040987640514,2.33265887225076e-05,0.00217948093963962
"ZC3H6",3347.94047030457,-3.07649505594981,0.420333952530149,-4.94010784389557,7.80793746641202e-07,0.000126263357990498
"ZNF117",903.401692589806,-2.80041696771769,0.392414813511193,-4.58804536864493,4.47415418699673e-06,0.000553281802330227
"ZNF134",38.3605119550503,4.03296532360061,0.945167465728975,3.20891845474324,0.00133235273885393,0.0592791226509137
"ZNF292",90.4795386785472,-3.10105987672712,0.582972778760718,-3.60404456824476,0.000313303296513601,0.0198087775968637
"ZNF468",58.4356221632836,-3.33546270394534,0.701694527737428,-3.32831825192638,0.00087371993343124,0.0422247754035821
"ZNF496",53.5598489841185,4.06479973326925,0.791400364339219,3.87262866100424,0.000107667805967861,0.0078049877619288
"ZNF542P",5512.13437831077,-3.2654793558474,0.392830070165971,-5.76707214620875,8.06605286562046e-09,2.33887719127595e-06
"ZNF816",101.436992144697,-4.29734628156944,0.693560031844997,-4.75423341912869,1.99200788574355e-06,0.000270174101793831
